
Liste des tickets avec taches GLPI migrees vers DSIHUB
Total: 11279 tickets, 15577 taches GLPI migrees
Ticket #96 | Archivage fichiers de pointage | 1 tache(s) | IDs GLPI: 51114
Ticket #10814 | demande de téléphone portable pro | 3 tache(s) | IDs GLPI: 42067,42068,42069
Ticket #10816 | Acces au X  service NBC | 2 tache(s) | IDs GLPI: 42061,42063
Ticket #10818 | TR: ça ne fonctionne toujours pas [glpi#0008663] | 2 tache(s) | IDs GLPI: 42057,42059
Ticket #10828 | Zoom | 2 tache(s) | IDs GLPI: 42053,42054
Ticket #10836 | droits d’accès K | 1 tache(s) | IDs GLPI: 42049
Ticket #10839 | Problème adresse mail | 1 tache(s) | IDs GLPI: 42047
Ticket #10840 | Acces VPN | 1 tache(s) | IDs GLPI: 42046
Ticket #10841 | Acces VPN | 1 tache(s) | IDs GLPI: 42044
Ticket #10843 | Pb Wifi + Enregistrement fichiers word | 2 tache(s) | IDs GLPI: 42040,42041
Ticket #10850 | panne appareil" phenix" réeducation  | 1 tache(s) | IDs GLPI: 42038
Ticket #10854 | ACCES K CENTRE DE VACCINATION  | 1 tache(s) | IDs GLPI: 42033
Ticket #10862 | nouvel arrivant/création de compte | 5 tache(s) | IDs GLPI: 42023,42024,42025,42026,42027
Ticket #10876 | pb accès coriolis | 1 tache(s) | IDs GLPI: 42019
Ticket #10878 | TR: [JIRA-Vivaticket] [PISCINE IVRY - VILLE D IVRY/SEINE (FR_REF_CL-64872)] - (CT-323) : Décalage horaire sur tripode | 1 tache(s) | IDs GLPI: 42015
Ticket #10883 | Teams | 1 tache(s) | IDs GLPI: 42011
Ticket #10884 | UC16200 poste lent | 1 tache(s) | IDs GLPI: 42010
Ticket #10892 | TR: Quarantine Report for pdraux@ivry94.fr | 1 tache(s) | IDs GLPI: 42008
Ticket #10896 | Demande chgt n° téléphone | 1 tache(s) | IDs GLPI: 42007
Ticket #10903 | pour installation zoom sur UC14068 | 1 tache(s) | IDs GLPI: 42000
Ticket #10930 | RE: version - doctolib | 1 tache(s) | IDs GLPI: 41994
Ticket #10933 | connexion à distance portable ville | 1 tache(s) | IDs GLPI: 41992
Ticket #10951 | doit accès K | 1 tache(s) | IDs GLPI: 41971
Ticket #10954 | Pb de BAL et restauration du I: | 1 tache(s) | IDs GLPI: 41967
Ticket #10959 | Mise à jour Navigateur | 1 tache(s) | IDs GLPI: 41962
Ticket #10962 | Dameware | 1 tache(s) | IDs GLPI: 41953
Ticket #10972 | Perte d'accès aux répertoires | 1 tache(s) | IDs GLPI: 41946
Ticket #10976 | Relance | 4 tache(s) | IDs GLPI: 41940,41941,41942,41943
Ticket #10977 | accès à la message Recrutement@ivry94.fr | 1 tache(s) | IDs GLPI: 41936
Ticket #10983 | URGENT : probleme avec la tablette du centre de loisirs | 1 tache(s) | IDs GLPI: 41929
Ticket #10988 | Changement téléphone | 1 tache(s) | IDs GLPI: 41923
Ticket #10991 | Fiche_arrivee_DSI - Amalou eric | 2 tache(s) | IDs GLPI: 41917,41918
Ticket #10996 | Messagerie pleine de Ilyes Slama | 1 tache(s) | IDs GLPI: 41911
Ticket #10998 | demande d'intervention | 1 tache(s) | IDs GLPI: 41908
Ticket #11008 | Demande de création de session  | 2 tache(s) | IDs GLPI: 41902,41903
Ticket #11009 | Fiche_arrivee_changement_service_depart RIGHI | 1 tache(s) | IDs GLPI: 41900
Ticket #11013 | Demande de droits Zoom | 1 tache(s) | IDs GLPI: 41894
Ticket #11016 | changement nom ligne téléphonique | 1 tache(s) | IDs GLPI: 41890
Ticket #11021 | Demande d'intervention | 2 tache(s) | IDs GLPI: 41885,41886
Ticket #11023 | dde accès | 1 tache(s) | IDs GLPI: 41883
Ticket #11024 | urgence | 2 tache(s) | IDs GLPI: 41880,41881
Ticket #11025 | Ecran - Portable | 1 tache(s) | IDs GLPI: 41878
Ticket #11026 | RE: Connexion E-maintenance copieurs | 1 tache(s) | IDs GLPI: 41877
Ticket #11043 | Espace de stockage | 1 tache(s) | IDs GLPI: 41866
Ticket #11054 | vpn sophos | 2 tache(s) | IDs GLPI: 41859,41860
Ticket #11058 | ACCES à K | 2 tache(s) | IDs GLPI: 41853,41854
Ticket #11059 | compte verrouillé | 1 tache(s) | IDs GLPI: 41850
Ticket #11070 | aménagement des postes de travail des agents du pôle familles le 7 mai | 6 tache(s) | IDs GLPI: 41841,41842,41843,41844,41845,41846
Ticket #11080 | Ecole Orme au Chat élémentaire | 1 tache(s) | IDs GLPI: 41835
Ticket #11081 | RE: Demande de casque pour téléphone PRO | 1 tache(s) | IDs GLPI: 41831
Ticket #11083 | RE: Re : ordinateur | 5 tache(s) | IDs GLPI: 41824,41825,41826,41827,41828
Ticket #11084 | raccourcis | 1 tache(s) | IDs GLPI: 41822
Ticket #11088 | Augmentation de la capacité de stockage et création de dossier d'archives pour Mour Mehrez MRAIDI | 1 tache(s) | IDs GLPI: 41818
Ticket #11119 | Plus de réseau | 3 tache(s) | IDs GLPI: 41812,41813,41814
Ticket #11122 | crétion groupe imprimante | 1 tache(s) | IDs GLPI: 41804
Ticket #11135 | Lignes téléphoniques | 1 tache(s) | IDs GLPI: 41786
Ticket #11138 | POSTE TEL à changer | 1 tache(s) | IDs GLPI: 41782
Ticket #11149 | CMS - DSI - CMS FORMULAIRE DE DEMANDE CREATION DE COMPTE Céline VAN BUTSEL  | 2 tache(s) | IDs GLPI: 41767,41768
Ticket #11163 | RE: [GLPI #0011152] Root entity &gt; Support | Nouveau ticket : RE: CMS - DSI - CMS FORMULAIRE DE DEMANDE CREATION DE COMPTE Céline VAN BUTSEL | 1 tache(s) | IDs GLPI: 41758
Ticket #11165 | Fiche d'arrivée d'un agent dans le service | 2 tache(s) | IDs GLPI: 41756,41757
Ticket #11176 | Création de compte AFFAIERS CIVILES | 3 tache(s) | IDs GLPI: 41751,41752,41753
Ticket #11182 | demande ajout utilisateur à groupe d'impression | 1 tache(s) | IDs GLPI: 41747
Ticket #11191 | TR: Récupération matériel  pour travail à distance performant | 2 tache(s) | IDs GLPI: 41736,41738
Ticket #11194 | Besoin Internet | 1 tache(s) | IDs GLPI: 41731
Ticket #11199 | Problème de connection au logiciel iMuse | 1 tache(s) | IDs GLPI: 41725
Ticket #11217 | imp et photo à installer | 1 tache(s) | IDs GLPI: 41718
Ticket #11218 | Imuse | 2 tache(s) | IDs GLPI: 41716,41717
Ticket #11222 | Luxy - Fiche arrivée Eyleen Giolat  | 1 tache(s) | IDs GLPI: 41711
Ticket #11231 | TR: Bureau à distance  | 1 tache(s) | IDs GLPI: 41707
Ticket #11232 | Lincence windows bientôt expiré | 2 tache(s) | IDs GLPI: 41704,41705
Ticket #11235 | Remplacement téléphone. | 2 tache(s) | IDs GLPI: 41701,41702
Ticket #11242 | Mail générique pour Garde ton corps - DDAC | 1 tache(s) | IDs GLPI: 41693
Ticket #11253 | UC17008 ne s'allume pas | 1 tache(s) | IDs GLPI: 41689
Ticket #11257 | ouverture session sur UC20202 nok | 1 tache(s) | IDs GLPI: 41684
Ticket #11260 | Chgt pc | 2 tache(s) | IDs GLPI: 41681,41682
Ticket #11262 | CMS - DSI - PB crossway | 1 tache(s) | IDs GLPI: 41679
Ticket #11268 | Arrivée Laurence Perchez | 8 tache(s) | IDs GLPI: 41664,41665,41666,41667,41668,41669,41670,41671
Ticket #11270 | connexion sur UC11032 TAD nok | 2 tache(s) | IDs GLPI: 41660,41661
Ticket #11271 | Fiche_arrivee_changement_service_depart | 3 tache(s) | IDs GLPI: 41657,41658,41659
Ticket #11272 | URBA // Changement postes 32 bits | 2 tache(s) | IDs GLPI: 41654,41655
Ticket #11278 | pb lancement outlook - poste en XP | 1 tache(s) | IDs GLPI: 41650
Ticket #11279 | message proxy s'affiche en permance | 2 tache(s) | IDs GLPI: 41647,41648
Ticket #11283 | pb synchro tél portable et outlook | 1 tache(s) | IDs GLPI: 41644
Ticket #11285 | Session agent | 1 tache(s) | IDs GLPI: 41641
Ticket #11286 | 'imprimante Imp_DRH_ABC ne remonte pas sur profil util | 1 tache(s) | IDs GLPI: 41638
Ticket #11316 | Renseignement Interdiction Sites Musique | 1 tache(s) | IDs GLPI: 41628
Ticket #11321 | Fiche_arrivee_changement_service_depart-1 | 3 tache(s) | IDs GLPI: 41621,41623,41624
Ticket #11323 | CMS - DSI - PROBLEME DROITS DACCES - CMS SANTE PUBLIQUE | 2 tache(s) | IDs GLPI: 41618,41619
Ticket #11328 | Demande augmentation capacité sur ordinateur | 1 tache(s) | IDs GLPI: 41616
Ticket #11366 | Demande création de compte | 1 tache(s) | IDs GLPI: 41604
Ticket #11367 | Activation microsoft office standard 2019 | 1 tache(s) | IDs GLPI: 41602
Ticket #11381 | TR:  | 1 tache(s) | IDs GLPI: 41593
Ticket #11385 | demande écran supplémentaire | 1 tache(s) | IDs GLPI: 41590
Ticket #11396 | problème téléphone fixe Méhadée Bernard | 1 tache(s) | IDs GLPI: 41582
Ticket #11410 | SMPPB_Hot-line_Création de compte_Ahmed_DJAÏ_20210511.docx | 3 tache(s) | IDs GLPI: 41572,41573,41574
Ticket #11428 | Téléphone de Mme Françoise de Reyer | 1 tache(s) | IDs GLPI: 41554
Ticket #11437 | Divers problème suite déménagements | 1 tache(s) | IDs GLPI: 41548
Ticket #11439 | Parametrage BAL | 1 tache(s) | IDs GLPI: 41545
Ticket #11453 | Fiche_arrivee_changement_service_depart.doc | 1 tache(s) | IDs GLPI: 41537
Ticket #11454 | Fiche_arrivee_changement_service_depart.doc | 1 tache(s) | IDs GLPI: 41533
Ticket #11457 | Création groupe imprimante | 1 tache(s) | IDs GLPI: 41528
Ticket #11461 | passage CMS | 1 tache(s) | IDs GLPI: 41525
Ticket #11466 | RE: Adagio  | 2 tache(s) | IDs GLPI: 41521,41522
Ticket #11469 | Espace de stockage | 1 tache(s) | IDs GLPI: 41516
Ticket #11473 | Intervention emplacent téléphone  | 1 tache(s) | IDs GLPI: 41511
Ticket #11496 | CMS - formulaire | 1 tache(s) | IDs GLPI: 41507
Ticket #11521 | UC13137 pas de réseau - pb cable ou prise murale | 1 tache(s) | IDs GLPI: 41505
Ticket #11522 | CMPP | 3 tache(s) | IDs GLPI: 41500,41501,41502
Ticket #11527 | Pb connexion | 1 tache(s) | IDs GLPI: 41497
Ticket #11534 | MDP et lecteur I: | 1 tache(s) | IDs GLPI: 41491
Ticket #11537 | 1 ere connexion vpn | 1 tache(s) | IDs GLPI: 41487
Ticket #11541 | TR: poste HS | 1 tache(s) | IDs GLPI: 41484
Ticket #11548 | TR: problème téléphone cimetière | 1 tache(s) | IDs GLPI: 41481
Ticket #11549 | pb son sur jitsi | 1 tache(s) | IDs GLPI: 41479
Ticket #11550 | pour installation maj mozilla pour accès à doctolib | 1 tache(s) | IDs GLPI: 41478
Ticket #11551 | Lecteur I: + carnet adresse outlook | 1 tache(s) | IDs GLPI: 41477
Ticket #11554 | Demande de création de compte Outlook - Noemi Martins - Crédac | 1 tache(s) | IDs GLPI: 41473
Ticket #11563 | ordinateur lent | 1 tache(s) | IDs GLPI: 41472
Ticket #11564 | connexion vpn nok sur UC15061 | 1 tache(s) | IDs GLPI: 41470
Ticket #11567 | Appareil téléphonique | 1 tache(s) | IDs GLPI: 41467
Ticket #11574 | Pb connexion RDP | 1 tache(s) | IDs GLPI: 41463
Ticket #11577 | reinit mot de passe | 1 tache(s) | IDs GLPI: 41460
Ticket #11579 | pas accès internet et intranet | 1 tache(s) | IDs GLPI: 41458
Ticket #11596 | CMS HOTLINE TELEPHONIE - MODIF NOM LIGNE 8619 | 1 tache(s) | IDs GLPI: 41452
Ticket #11599 | TR: Poste 6461 | 1 tache(s) | IDs GLPI: 41448
Ticket #11600 | Demandes informatique et téléphonie / service ATSL | 8 tache(s) | IDs GLPI: 41439,41440,41441,41442,41443,41444,41445,41446
Ticket #11601 | Demandes informatique et téléphonie / service ATSL | 2 tache(s) | IDs GLPI: 41436,41437
Ticket #11615 | téléphone-modif | 1 tache(s) | IDs GLPI: 41429
Ticket #11616 | nouvelle collègue médiatheque jeunesse | 1 tache(s) | IDs GLPI: 41427
Ticket #11618 | nouvelle collègue médiathèque adulte | 1 tache(s) | IDs GLPI: 41425
Ticket #11623 | TR: Besoin d'espace sur le serveur | 1 tache(s) | IDs GLPI: 41422
Ticket #11634 | CMS - DSI - DDE AIDE CREATION - GESTION RESERVATION SALLES CMS | 1 tache(s) | IDs GLPI: 41413
Ticket #11635 | repondeur | 1 tache(s) | IDs GLPI: 41411
Ticket #11636 | Téléphone Martine Gaudry | 1 tache(s) | IDs GLPI: 41409
Ticket #11638 | Demande installation d'un PC dans le bureau de Mme LERUCH | 2 tache(s) | IDs GLPI: 41405,41406
Ticket #11650 | création groupe imprimante + gpo | 1 tache(s) | IDs GLPI: 41396
Ticket #11651 | config vpn | 1 tache(s) | IDs GLPI: 41391
Ticket #11657 | Accès aux serveurs et autres soucis | 2 tache(s) | IDs GLPI: 41384,41385
Ticket #11658 | TR: TàD connexion à distance | 1 tache(s) | IDs GLPI: 41382
Ticket #11660 | Accès internet en AOVPN | 1 tache(s) | IDs GLPI: 41381
Ticket #11661 | URGENT / PERTE D'ARCHIVAGE OUTLOOK suite au CHANGEMENT DE POSTE INFORMATIQUE | 1 tache(s) | IDs GLPI: 41378
Ticket #11662 | CMS - casque téléphonique | 1 tache(s) | IDs GLPI: 41375
Ticket #11668 | Fiche_arrivee_changement_service_depart (1) | 1 tache(s) | IDs GLPI: 41372
Ticket #11680 | Téléphone 2403 | 1 tache(s) | IDs GLPI: 41364
Ticket #11690 | installation Chrome pour réu Zoom | 1 tache(s) | IDs GLPI: 41361
Ticket #11691 | Pb Outils de réservation des salles | 1 tache(s) | IDs GLPI: 41360
Ticket #11700 | Fiche arrivée + ordinateur et téléphone fixe  | 8 tache(s) | IDs GLPI: 41347,41348,41349,41350,41351,41352,41353,41354
Ticket #11739 | Téléphone fixe | 1 tache(s) | IDs GLPI: 41341
Ticket #11740 | Connexion réseau | 1 tache(s) | IDs GLPI: 41339
Ticket #11741 | [URGENT] Demande VIP | 1 tache(s) | IDs GLPI: 41337
Ticket #11749 | Signalement mails spam | 1 tache(s) | IDs GLPI: 41328
Ticket #11777 | Problème ouverture  | 1 tache(s) | IDs GLPI: 41314
Ticket #11782 | CMS &gt; Lancement Crossway - Message d'authentification  | 1 tache(s) | IDs GLPI: 41312
Ticket #11784 | problème de connexion visio | 1 tache(s) | IDs GLPI: 41310
Ticket #11787 | imprimante HS à récuperer-  bureau CDL ALSH Dulcie elementaire | 1 tache(s) | IDs GLPI: 41309
Ticket #11789 | commande imprimante poste de Julie Francès | 1 tache(s) | IDs GLPI: 41307
Ticket #11791 | Droits d’accès K | 1 tache(s) | IDs GLPI: 41304
Ticket #11792 | droits sur calendrier D. Montet | 1 tache(s) | IDs GLPI: 41302
Ticket #11795 | création groupe imprimante | 1 tache(s) | IDs GLPI: 41299
Ticket #11796 | probème technique maison de quartier Centre-ville Gagarine  | 1 tache(s) | IDs GLPI: 41296
Ticket #11799 | Création de boîte mail générique PARC AUTO | 2 tache(s) | IDs GLPI: 41291,41292
Ticket #11803 | DDE ACCES | 1 tache(s) | IDs GLPI: 41288
Ticket #11809 | répondeur | 1 tache(s) | IDs GLPI: 41285
Ticket #11811 | ancienne imprimante à supprimer car remonte automatiquement sur profil util | 1 tache(s) | IDs GLPI: 41283
Ticket #11821 | TR: Contrôle des accès Médiathèque | 1 tache(s) | IDs GLPI: 41281
Ticket #11829 | Accès travail à distance | 1 tache(s) | IDs GLPI: 41276
Ticket #11840 | CMS - doubles écrans | 1 tache(s) | IDs GLPI: 41274
Ticket #11841 | Pb connexion | 2 tache(s) | IDs GLPI: 41271,41272
Ticket #11844 | pas accès intranet | 2 tache(s) | IDs GLPI: 41267,41268
Ticket #11849 | RE: [GLPI #0011796] Root entity &gt; Support | Clôture du ticket : probème technique maison de quartier Centre-ville Gagarine | 1 tache(s) | IDs GLPI: 41263
Ticket #11850 | demande de création de compte Outlook / Jérôme Girard  | 1 tache(s) | IDs GLPI: 41261
Ticket #11851 | CMS - DSI - KINE - 4EME POSTE A RENDRE SVP | 1 tache(s) | IDs GLPI: 41259
Ticket #11855 | pas d'accès vpn | 1 tache(s) | IDs GLPI: 41256
Ticket #11866 | demande | 1 tache(s) | IDs GLPI: 41246
Ticket #11870 | TR: CMS - DSI - ACCES SOUS X Direction | 2 tache(s) | IDs GLPI: 41242,41243
Ticket #11878 | 2e ecran | 1 tache(s) | IDs GLPI: 41235
Ticket #11881 | Jitsi | 1 tache(s) | IDs GLPI: 41230
Ticket #11916 | util revient de longue absence, poste à configurer  | 2 tache(s) | IDs GLPI: 41221,41222
Ticket #11919 | Configuration accès à distance | 2 tache(s) | IDs GLPI: 41216,41218
Ticket #11925 | [URGENT]: pb connexion VPN | 1 tache(s) | IDs GLPI: 41214
Ticket #11938 | création groupe gpo imprimante | 1 tache(s) | IDs GLPI: 41207
Ticket #11942 | fiche arrivée -  MATHILDE LEMOS  -  | 1 tache(s) | IDs GLPI: 41203
Ticket #11959 | Luxy - Demande d'intervention pièce à changer sur un ordinateur | 1 tache(s) | IDs GLPI: 41198
Ticket #11960 | MDP | 1 tache(s) | IDs GLPI: 41195
Ticket #11961 | FICHE D'ARRIVEE/DEPART pour KEICHA CORENTIN pour le SUR - Commande de PC PORTABLE | 3 tache(s) | IDs GLPI: 41190,41191,41193
Ticket #11969 | Renvoi appel sur poste 2770 | 1 tache(s) | IDs GLPI: 41184
Ticket #11971 | Bonjour,  Quand je veux insérer un lien hypertext d’intranet sur ma me | 1 tache(s) | IDs GLPI: 41182
Ticket #11979 | ZOOM et Chrome | 1 tache(s) | IDs GLPI: 41174
Ticket #11981 | Suppression sur K | 1 tache(s) | IDs GLPI: 41169
Ticket #11986 | message erreur connexion instable | 1 tache(s) | IDs GLPI: 41162
Ticket #12004 | TR: Demande d'intervention pour les téléphones fixes | 1 tache(s) | IDs GLPI: 41154
Ticket #12005 | pb accès messagerie via smartphone | 2 tache(s) | IDs GLPI: 41150,41151
Ticket #12007 | TR: saturation mémoire radio dentaire | 4 tache(s) | IDs GLPI: 41145,41146,41148,41149
Ticket #12019 | poste téléphionique sans tonalité | 1 tache(s) | IDs GLPI: 41135
Ticket #12025 | Demande modification compte : Arzika AMMOUR / ATSL | 1 tache(s) | IDs GLPI: 41129
Ticket #12031 | Urgent Accès dossier | 1 tache(s) | IDs GLPI: 41125
Ticket #12041 | Problème de connexion à ASTECH | 1 tache(s) | IDs GLPI: 41123
Ticket #12050 | TR: CMPP | 1 tache(s) | IDs GLPI: 41119
Ticket #12051 | TR: Demande d'attribution de poste | 1 tache(s) | IDs GLPI: 41118
Ticket #12055 | Changement nom | 1 tache(s) | IDs GLPI: 41116
Ticket #12062 | Demande accès réseau stagiaire SMP | 1 tache(s) | IDs GLPI: 41112
Ticket #12069 | Gestion de BAL | 1 tache(s) | IDs GLPI: 41105
Ticket #12070 | Tablettes école | 1 tache(s) | IDs GLPI: 41103
Ticket #12071 | Doctolib | 1 tache(s) | IDs GLPI: 41101
Ticket #12073 | changement de nom | 1 tache(s) | IDs GLPI: 41098
Ticket #12094 | CMS-HOTLINE-DDE AIDE POUR REALISATION COLLECTIF CONCERTATION 100% ZOOM | 1 tache(s) | IDs GLPI: 41088
Ticket #12100 | CMS-HOTLINE_LIGNE URGENCE CMS | 1 tache(s) | IDs GLPI: 41081
Ticket #12101 | CMS-HOTLINE_LIGNE URGENCE CMS | 1 tache(s) | IDs GLPI: 41078
Ticket #12104 | Restauration dossier antérieur au 04/06/2021 | 1 tache(s) | IDs GLPI: 41074
Ticket #12106 | CMS-HOTLINE- LCSH Labo -SUIVI APPEL PATIENT POUR RDV | 1 tache(s) | IDs GLPI: 41070
Ticket #12123 | Demande vérification , mise à jour,  et d’installation de l’appli ZOOM | 1 tache(s) | IDs GLPI: 41068
Ticket #12133 | Arpege | 1 tache(s) | IDs GLPI: 41064
Ticket #12143 | Quota | 1 tache(s) | IDs GLPI: 41055
Ticket #12145 | TR: Récupération ligne tél. au service ATSL | 1 tache(s) | IDs GLPI: 41053
Ticket #12146 | TR: Demande transfert lignes / sce ATSL | 1 tache(s) | IDs GLPI: 41051
Ticket #12174 | Ophtix | 1 tache(s) | IDs GLPI: 41036
Ticket #12178 | SMPPB_Panne imprimante_20210608 | 1 tache(s) | IDs GLPI: 41032
Ticket #12183 | gestion salles réunion | 1 tache(s) | IDs GLPI: 41027
Ticket #12195 | Outlook | 1 tache(s) | IDs GLPI: 41021
Ticket #12199 | Travail à distance  | 2 tache(s) | IDs GLPI: 41014,41015
Ticket #12203 | RE: Déménagement postes informatiques du PIJ | 1 tache(s) | IDs GLPI: 41010
Ticket #12204 | RE: Accès à distance N. Cameira | 1 tache(s) | IDs GLPI: 41008
Ticket #12213 | RE: Travail à distance  | 2 tache(s) | IDs GLPI: 41002,41003
Ticket #12260 | probleme dossiers archives outlook | 1 tache(s) | IDs GLPI: 40987
Ticket #12291 | TR: RAPPEL GIP Maximilien - changement de dates : Montée de version du profil acheteur (MPE) les 3 et 4 juillet 2021 | 6 tache(s) | IDs GLPI: 40953,40955,40956,40958,40959,40960
Ticket #12293 | Ordi planté | 3 tache(s) | IDs GLPI: 40946,40947,40948
Ticket #12329 | TR: Ouverture de droit | 1 tache(s) | IDs GLPI: 40942
Ticket #12330 | oublie transfert | 1 tache(s) | IDs GLPI: 40939
Ticket #12332 | Quota | 1 tache(s) | IDs GLPI: 40936
Ticket #12333 | Un peu plus de "mémoire"... | 1 tache(s) | IDs GLPI: 40934
Ticket #12334 | Création groupe gpo imprimante | 1 tache(s) | IDs GLPI: 40932
Ticket #12345 | CMS - formulaire  | 2 tache(s) | IDs GLPI: 40920,40921
Ticket #12346 | CMS - formulaire  | 1 tache(s) | IDs GLPI: 40918
Ticket #12356 | droits d'accès K | 1 tache(s) | IDs GLPI: 40907
Ticket #12384 | création groupe Photocopieur | 1 tache(s) | IDs GLPI: 40879
Ticket #12391 | Message d'erreur à l'ouverture IP Desktop Softphone | 1 tache(s) | IDs GLPI: 40873
Ticket #12396 | TR: Numéro de licence logiciel | 4 tache(s) | IDs GLPI: 40865,40866,40867,40868
Ticket #12398 | TR: Message d'absence pour Stéphanie Delafoy | 1 tache(s) | IDs GLPI: 40859
Ticket #12399 | création groupe | 1 tache(s) | IDs GLPI: 40857
Ticket #12415 | Pb son ordi | 1 tache(s) | IDs GLPI: 40847
Ticket #12442 | PROBLEME IMPRIMANTE | 1 tache(s) | IDs GLPI: 40826
Ticket #12449 | Fiche arrivee service MTV | 3 tache(s) | IDs GLPI: 40814,40815,40816
Ticket #12450 | probl-ème accès partage fichiers | 1 tache(s) | IDs GLPI: 40810
Ticket #12461 | TR: Demande des ordinateurs et téléphones nouveaux agents pôle familles | 3 tache(s) | IDs GLPI: 40799,40800,40801
Ticket #12471 | DEMANDE DE QUOTA | 1 tache(s) | IDs GLPI: 40794
Ticket #12484 | Création messagerie SPEP / suppression du raccourci | 1 tache(s) | IDs GLPI: 40787
Ticket #12500 | Compte Ophélie MAHE | 5 tache(s) | IDs GLPI: 40773,40774,40776,40777,40779
Ticket #12503 | util signale ordi du maire éteint systématiquement tous les matins | 1 tache(s) | IDs GLPI: 40770
Ticket #12505 | URGENT - pour les élections | 1 tache(s) | IDs GLPI: 40768
Ticket #12527 | Compte  outlook | 1 tache(s) | IDs GLPI: 40764
Ticket #12533 | TPE | 2 tache(s) | IDs GLPI: 40755,40756
Ticket #12556 | pb doctolib | 1 tache(s) | IDs GLPI: 40743
Ticket #12560 | TR: Demande intranet gestionnaire | 1 tache(s) | IDs GLPI: 40739
Ticket #12567 | Crossway &gt; Citrix &gt; Pb anti-virus | 1 tache(s) | IDs GLPI: 40735
Ticket #12574 | demande de restauration depuis dossiers publics | 1 tache(s) | IDs GLPI: 40730
Ticket #12581 | pb accès à gestion des effectifs | 1 tache(s) | IDs GLPI: 40728
